,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Lompoc,34.6391,-120.4579,15.0,63,2,7.2,US,1619225832
1,Vila Velha,-20.3297,-40.2925,25.0,73,75,3.6,BR,1619225606
2,Sambava,-14.2667,50.1667,22.41,86,100,3.62,MG,1619225833
3,Tonaya,19.7833,-103.9667,29.0,32,1,5.14,MX,1619225833
4,Hermanus,-34.4187,19.2345,13.33,90,91,1.85,ZA,1619225833
5,Lüderitz,-26.6481,15.1594,17.6,73,6,2.44,NA,1619225834
6,Longyearbyen,78.2186,15.6401,-9.0,67,75,3.6,SJ,1619225547
7,Puerto Escondido,15.85,-97.0667,29.0,74,40,2.0,MX,1619225834
8,Punta Arenas,-53.15,-70.9167,7.0,93,40,1.54,CL,1619225834
9,Kapaa,22.0752,-159.319,26.0,65,40,6.69,US,1619225538
10,Maridi,4.9158,29.4742,19.02,96,100,1.79,SS,1619225835
11,Port Alfred,-33.5906,26.891,18.67,72,0,7.83,ZA,1619225536
12,Gemeente Wageningen,51.9667,5.6667,5.0,87,90,0.51,NL,1619225835
13,Albany,42.6001,-73.9662,12.0,35,1,2.42,US,1619225757
14,Santa Cruz de la Sierra,-17.8,-63.1667,22.0,100,75,3.09,BO,1619225836
15,Srednekolymsk,67.45,153.6833,-9.49,91,100,8.98,RU,1619225836
16,Bethel,41.3712,-73.414,16.0,20,1,4.63,US,1619225811
17,Rikitea,-23.1203,-134.9692,26.22,70,100,7.94,PF,1619225836
18,Qaqortoq,60.7167,-46.0333,4.0,65,0,1.03,GL,1619225601
19,Busselton,-33.65,115.3333,20.42,51,43,1.99,AU,1619225837
20,Puerto Ayora,-0.7393,-90.3518,25.0,95,14,2.24,EC,1619225837
21,Qaanaaq,77.484,-69.3632,-7.4,82,100,2.4,GL,1619225837
22,Chernyshevskiy,63.0128,112.4714,-1.07,89,100,4.33,RU,1619225838
23,Quime,-16.9833,-67.2167,9.88,92,79,0.73,BO,1619225838
24,Castro,-24.7911,-50.0119,12.55,73,13,1.59,BR,1619225551
25,Yumen,40.2833,97.2,5.46,68,97,0.79,CN,1619225838
26,Matara,5.9485,80.5353,25.24,89,86,2.53,LK,1619225839
27,Hobart,-42.8794,147.3294,15.0,51,75,6.69,AU,1619225617
28,Bluff,-46.6,168.3333,11.67,77,99,4.02,NZ,1619225839
29,Ushuaia,-54.8,-68.3,6.0,93,75,4.63,AR,1619225840
30,Bredasdorp,-34.5322,20.0403,10.0,93,88,1.03,ZA,1619225840
31,Muhos,64.808,25.9931,1.0,93,90,4.12,FI,1619225840
32,Øksfjord,70.2396,22.3479,0.0,64,40,4.63,NO,1619225840
33,Bilibino,68.0546,166.4372,-4.12,79,78,1.38,RU,1619225841
34,Hobyo,5.3505,48.5268,28.26,74,96,4.02,SO,1619225841
35,Grindavik,63.8424,-22.4338,8.0,93,90,5.66,IS,1619225842
36,Puri,19.8,85.85,29.44,94,20,3.6,IN,1619225842
37,East London,-33.0153,27.9116,17.25,75,5,3.67,ZA,1619225842
38,Avarua,-21.2078,-159.775,28.0,78,20,8.23,CK,1619225843
39,Vestmannaeyjar,63.4427,-20.2734,7.97,90,100,8.09,IS,1619225809
40,Bārmer,25.75,71.3833,24.76,42,14,3.62,IN,1619225843
41,Jamestown,42.097,-79.2353,10.0,43,1,6.17,US,1619225619
42,Constitución,-35.3333,-72.4167,12.91,80,0,4.67,CL,1619225844
43,George Town,5.4112,100.3354,25.56,94,40,2.06,MY,1619225844
44,Buchanan,5.8808,-10.0467,25.0,94,75,3.49,LR,1619225844
45,Leningradskiy,69.3833,178.4167,-1.54,84,98,2.2,RU,1619225845
46,Upernavik,72.7868,-56.1549,-2.18,84,100,1.59,GL,1619225588
47,Camaçari,-12.6975,-38.3242,27.0,78,75,3.6,BR,1619225845
48,Padrauna,26.9025,83.9819,27.25,23,1,2.55,IN,1619225846
49,New Norfolk,-42.7826,147.0587,13.33,76,100,1.79,AU,1619225846
50,Dingle,10.9995,122.6711,30.46,60,97,3.62,PH,1619225846
51,Cherskiy,68.75,161.3,-3.65,90,100,2.36,RU,1619225846
52,Wesselsbron,-27.8549,26.3658,13.41,35,7,1.89,ZA,1619225847
53,Ulaanbaatar,47.9077,106.8832,6.0,33,40,5.0,MN,1619225597
54,Payo,-3.7508,103.6372,24.48,82,2,0.65,ID,1619225847
55,Haveli Lakha,30.4502,73.6989,20.33,51,0,2.22,PK,1619225848
56,Hilo,19.7297,-155.09,28.0,51,75,5.14,US,1619225848
57,Maragogi,-9.0122,-35.2225,25.59,81,22,3.23,BR,1619225848
58,San Andrés,12.5847,-81.7006,28.0,69,20,4.63,CO,1619225605
59,Butaritari,3.0707,172.7902,27.84,76,100,2.82,KI,1619225849
60,Kilindoni,-7.9139,39.6668,25.93,82,60,9.2,TZ,1619225849
61,Tuktoyaktuk,69.4541,-133.0374,-8.0,73,75,4.12,CA,1619225849
62,Cape Town,-33.9258,18.4232,15.0,82,0,4.12,ZA,1619225610
